,Sentiment,SentimentText,SentimentLema,SentimentStem
0,1,<MENTION> lol ok thanks. anyway watcha doing?,lol okay thank watcha,lol okay thank watcha
1,1,"<MENTION> -- yeah, thank ya kindly!",-- yes thank you kindly,-- yes thank you kind
2,0,"<MENTION>, is being a horrible friend. tears.",horrible friend tear,horrible friend tear
3,0,Jonas Brothers 3D Concert Movie is out on the 7th of May and i can't go because of school interviews. BUT i'LL see it sat!!(Hopefully),Jonas Brothers 3D Concert Movie 7th school interview i'LL sat!!(Hopefully,jonas brothers 3d concert movie 7th school interview i'll sat!!(hop
4,1,<MENTION> k just call asap,k asap,k asap
5,1,<MENTION> hello mr. ryan ross,hello mr ryan ross,hello mr ryan ross
6,0,"<HASHTAG> <HASHTAG> Just watched highlights of the Super 14 final, I am worried, very worried. The Bulls looked like men, the Lions like boys",watch highlight Super 14 final worry worry Bulls look like man Lions like boy,watch highlight super 14 final worry worry bulls look like man lions like boy
7,1,<MENTION> I love getting calls from extended family with 10 year old computers infested with malware and they expect me to fix it.,love get call extend family 10 year old computer infest malware expect fix,love get call extend family 10 year old computer infest malware expect fix
8,1,<MENTION> Please stop threatening people with pink-eye or we might have the NIH and CDC investigating Twitter-borne diseases.,stop threaten people pink eye NIH CDC investigate Twitter bear disease,stop threaten people pink eye nih cdc investigate twitter bear diseas
9,1,...but don't expect me to kiss a frog.,... expect kiss frog,... expect kiss frog
10,1,<MENTION> il give you a lap dance tomorrow!,il lap dance tomorrow,il lap dance tomorrow
11,0,monday!! loking forward to it,monday loking forward,monday loking forward
12,0,<MENTION> I probably suck at that game now too,probably suck game,probably suck gam
13,1,<MENTION> Hahaha alrighty then!,Hahaha alrighty,hahaha alrighti
14,0,<MENTION> nine of course you've got 2 weeks more and you're free from everything rite? i've got 3 weeks more huhu,course get 2 week free rite get 3 week huhu,course get 2 week free rite get 3 week huhu
15,0,<MENTION> i so would but theres no more room in the car,s room car,s room car
16,1,<MENTION> OMG!!.. You Like Totally Slept In My House!!! ARGHHHHH!!!!.. =P LOVES Ya...,OMG .. Like Totally Slept House ARGHHHHH .. P LOVES Ya ...,omg .. like totally slept house arghhhhh .. p loves ya ...
17,0,<MENTION> I am sure the Produb guys are on the case,sure Produb guy case,sure produb guy cas
18,0,<MENTION> congrats girl!! Our mission to trick you failed but I happy for u too,congrats girl mission trick fail happy u,congrats girl mission trick fail happy u
19,1,<MENTION> you can !!,,
20,0,<MENTION> is it gonna be released in israel aswell?,go to release israel aswell,go to release israel aswel
21,1,<MENTION> I logged in to see this clip of Susan........what a gift just to hear her sing. Thank you for your post.,log clip Susan ........ gift hear sing Thank post,log clip susan ........ gift hear sing thank post
22,1,& they won! congratulations<MENTION> <33,win congratulation <33,win congratulation <33
23,0,"'you can turn off the sun, but I'm still gonna shine' schoooool tomorrow! I need summer.",turn sun go to shine schoooool tomorrow need summer,turn sun go to shine schoooool tomorrow need summ
24,1,<MENTION> and what's wrong with having another couple of days just in case,wrong couple day case,wrong couple day cas
25,0,<MENTION> I have two 21' LCDs at my desk,21 LCDs desk,21 lcds desk
26,1,<MENTION> geez good to be you best,geez good well,geez good wel
27,0,<MENTION> I knooow I'll b there dis weekend tho guurl!,knooow b dis weekend tho guurl,knooow b dis weekend tho guurl
28,0,"guys... the mouse isn't a hallucination. He's a real, fuzzy, whiskery thing. How do i get rid of it without killing it?",guy ... mouse hallucination real fuzzy whiskery thing rid kill,guy ... mouse hallucination real fuzzy whiskery thing rid kil
29,1,<MENTION> that sounds great,sound great,sound great
30,0,<MENTION> you called me today but because i live in w.a i was still in school please can you call me again? xxx,call today live w.a school xxx,call today live w.a school xxx
31,0,"@ sleepyqueen: can sms me, jus tat i reply slow onli ya loh, sun father's day i also hafen buy or do anything...",sleepyqueen sms ju tat reply slow onli you loh sun father day hafen buy ...,sleepyqueen sms ju tat reply slow onli you loh sun father day hafen buy ...
32,0,<MENTION> I didnt I turned it on just as it finished I was gutted lol,not turn finish gut lol,not turn finish gut lol
33,1,<MENTION><MENTION> Hello new twitters,MENTION><MENTION Hello new twitter,mention><mention hello new twitt
34,1,"<MENTION> We have Pelican cases for sale, if you're interested!",Pelican case sale interest,pelican case sale interest
35,1,"<MENTION> Thanks for logo design tutorial, that is fabulous!",Thanks logo design tutorial fabulous,thanks logo design tutorial fabul
36,1,<MENTION> Okay then. I would much prefere if you just leave me alone. Just like how it was when you were still at tupper.,Okay prefere leave like tupper,okay prefere leave like tupp
37,1,<MENTION> starting my job tomorrow!! Keep me in ur prayers! Decided not to be afraid to succeed anymore!! imma go & show em!,start job tomorrow ur prayer Decided afraid succeed anymore imma -PRON-,start job tomorrow ur prayer decided afraid succeed anymore imma -pron-
